DATATIME,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,WINDSPEED,POWER
2021-04-02 00:00:00,237,18.5,27,763,9.1,103617.0
2021-04-02 00:15:00,238,18.1,27,763,9.0,99517.0
2021-04-02 00:30:00,238,17.8,28,763,8.0,79831.0
2021-04-02 00:45:00,239,17.5,29,763,7.1,57945.0
2021-04-02 01:00:00,239,17.2,30,763,7.5,68921.0
2021-04-02 01:15:00,241,16.9,30,763,7.4,72995.0
2021-04-02 01:30:00,242,16.6,31,763,7.4,68789.0
2021-04-02 01:45:00,245,16.3,32,763,7.3,67361.0
2021-04-02 02:00:00,247,16.0,33,763,7.2,67093.0
2021-04-02 02:15:00,247,15.8,33,763,7.5,71426.0
2021-04-02 02:30:00,247,15.7,33,763,7.9,77293.0
2021-04-02 02:45:00,247,15.6,34,762,7.7,71432.0
2021-04-02 03:00:00,247,15.5,34,762,7.7,74116.0
2021-04-02 03:15:00,245,15.3,34,762,7.6,72181.0
2021-04-02 03:30:00,242,15.0,35,762,7.8,75574.0
2021-04-02 03:45:00,240,14.8,35,762,8.2,86835.0
2021-04-02 04:00:00,237,14.5,36,762,8.9,99690.0
2021-04-02 04:15:00,237,14.3,37,762,8.5,91548.0
2021-04-02 04:30:00,237,14.1,38,762,7.9,79638.0
2021-04-02 04:45:00,237,14.0,39,762,8.0,79998.0
2021-04-02 05:00:00,238,13.8,40,762,7.7,77504.0
2021-04-02 05:15:00,238,13.6,41,762,7.9,80909.0
2021-04-02 05:30:00,238,13.4,42,762,8.1,84431.0
2021-04-02 05:45:00,240,13.3,43,763,8.1,86594.0
2021-04-02 06:00:00,241,13.1,44,763,8.2,87341.0
2021-04-02 06:15:00,241,13.0,44,763,8.6,90716.0
2021-04-02 06:30:00,241,12.9,45,763,8.6,89529.0
2021-04-02 06:45:00,242,12.8,45,763,9.3,103855.0
2021-04-02 07:00:00,243,12.7,46,763,10.3,115148.0
2021-04-02 07:15:00,243,13.0,45,763,10.7,123704.0
2021-04-02 07:30:00,243,13.7,43,763,10.6,121998.0
2021-04-02 07:45:00,243,14.4,42,764,10.4,117420.0
2021-04-02 08:00:00,243,15.1,40,764,10.1,118578.0
2021-04-02 08:15:00,243,15.8,38,764,10.1,118601.0
2021-04-02 08:30:00,243,16.6,36,764,9.8,113690.0
2021-04-02 08:45:00,242,17.4,35,765,10.2,116847.0
2021-04-02 09:00:00,242,18.2,33,765,10.2,118168.0
2021-04-02 09:15:00,242,19.0,31,765,9.9,115136.0
2021-04-02 09:30:00,241,19.7,29,765,9.7,111241.0
2021-04-02 09:45:00,241,20.5,28,765,9.2,105459.0
2021-04-02 10:00:00,240,21.2,26,765,11.3,126398.0
2021-04-02 10:15:00,241,21.9,25,765,11.3,126295.0
2021-04-02 10:30:00,243,22.4,24,765,11.4,128408.0
2021-04-02 10:45:00,244,22.9,23,765,11.6,129449.0
2021-04-02 11:00:00,246,23.4,22,765,12.5,131452.0
2021-04-02 11:15:00,246,23.8,21,765,12.1,131267.0
2021-04-02 11:30:00,246,24.1,21,765,12.2,134646.0
2021-04-02 11:45:00,246,24.4,20,765,11.6,127917.0
2021-04-02 12:00:00,246,24.7,20,765,11.9,130783.0
2021-04-02 12:15:00,246,25.1,19,765,11.2,124538.0
2021-04-02 12:30:00,247,25.6,18,765,12.2,132290.0
2021-04-02 12:45:00,247,26.1,17,764,11.4,127881.0
2021-04-02 13:00:00,248,26.6,16,764,11.5,127437.0
2021-04-02 13:15:00,248,27.0,15,764,11.1,121506.0
2021-04-02 13:30:00,248,27.1,15,764,11.1,121159.0
2021-04-02 13:45:00,249,27.2,14,763,12.2,125514.0
2021-04-02 14:00:00,249,27.3,14,763,12.0,129230.0
2021-04-02 14:15:00,249,27.3,14,763,11.6,124001.0
2021-04-02 14:30:00,249,27.2,14,763,11.3,125551.0
2021-04-02 14:45:00,250,27.0,15,762,11.3,124870.0
2021-04-02 15:00:00,250,26.9,15,762,13.1,137605.0
2021-04-02 15:15:00,250,26.7,15,762,12.8,130534.0
2021-04-02 15:30:00,251,26.5,15,762,11.8,125581.0
2021-04-02 15:45:00,251,26.4,16,761,11.0,118495.0
2021-04-02 16:00:00,252,26.2,16,761,11.0,121500.0
2021-04-02 16:15:00,251,26.2,16,761,11.3,125911.0
2021-04-02 16:30:00,250,26.3,15,761,11.0,125002.0
2021-04-02 16:45:00,248,26.5,15,761,9.8,106557.0
2021-04-02 17:00:00,247,26.6,14,761,11.4,124059.0
2021-04-02 17:15:00,245,26.5,15,761,10.5,119481.0
2021-04-02 17:30:00,244,26.1,16,761,9.8,113008.0
2021-04-02 17:45:00,242,25.6,17,761,10.6,121915.0
2021-04-02 18:00:00,241,25.2,18,761,10.3,116557.0
2021-04-02 18:15:00,240,24.9,18,761,9.3,103599.0
2021-04-02 18:30:00,241,24.6,18,761,9.1,103073.0
2021-04-02 18:45:00,243,24.4,18,761,8.8,96172.0
2021-04-02 19:00:00,244,24.1,18,761,8.7,94733.0
2021-04-02 19:15:00,245,23.8,18,761,7.5,65859.0
2021-04-02 19:30:00,247,23.3,19,761,7.4,64729.0
2021-04-02 19:45:00,249,22.9,19,762,6.9,55485.0
2021-04-02 20:00:00,251,22.4,20,762,6.2,41984.0
2021-04-02 20:15:00,251,22.0,21,762,5.3,27351.0
2021-04-02 20:30:00,249,21.7,22,763,4.9,20421.0
2021-04-02 20:45:00,247,21.4,23,763,4.5,15861.0
2021-04-02 21:00:00,245,21.1,24,764,3.7,10330.0
2021-04-02 21:15:00,243,20.8,25,764,3.6,9322.0
2021-04-02 21:30:00,242,20.5,26,764,3.7,10122.0
2021-04-02 21:45:00,241,20.3,27,765,3.7,10337.0
2021-04-02 22:00:00,240,20.0,28,765,3.5,9085.0
2021-04-02 22:15:00,239,19.8,29,765,3.6,9565.0
2021-04-02 22:30:00,240,19.5,30,765,3.9,13004.0
2021-04-02 22:45:00,241,19.3,31,766,3.9,12883.0
2021-04-02 23:00:00,242,19.0,32,766,4.3,15098.0
2021-04-02 23:15:00,242,18.8,32,766,4.6,19561.0
2021-04-02 23:30:00,242,18.6,33,766,4.9,23871.0
2021-04-02 23:45:00,242,18.3,34,766,4.9,23916.0
2021-04-03 00:00:00,216,18.1,27,766,4.5,17618.0
2021-04-03 00:15:00,217,17.8,28,766,4.7,20618.0
2021-04-03 00:30:00,219,17.6,29,766,5.2,27769.0
2021-04-03 00:45:00,220,17.3,31,766,5.4,29431.0
2021-04-03 01:00:00,222,17.1,32,766,5.6,34878.0
2021-04-03 01:15:00,224,16.9,34,766,5.3,31870.0
2021-04-03 01:30:00,225,16.7,37,766,5.2,30657.0
2021-04-03 01:45:00,226,16.4,39,766,5.5,33920.0
